Collection Source Name,Color,Behr_ID,LRV,R,G,B,One_liner,Short_description,Undertone_raw,Undertone,Coordinated_Palette_1,Coordinated_Palette_2,Coordinated_Palette_3,Coordinated_Palette_URL,Trim_Crisp,Trim Crisp (Lower Case),Trim_Warm,Family,Temp,Undertone_notes,Hex,Saturation,Chroma,Style Tag 1,Style Tag 2,Style Tag 3,Style Tag 4,Style Tag 5,Risk_tags,URL,
Benjamin Moore 2026,Sherwood Tan,1054,37,185,162,132,Trending Neutral,A classic golden tan infused with earthy brown notes.,Warm Gold (Brown),,,,,,Swiss Coffee,,,Neutral,Warm,Golden beige with strong brown undertones,#B9A284,0.27,,Warm,Earthy,Classic,Cozy,Sophisticated,yellow_shift|brown_shift,https://www.benjaminmoore.com/en-us/paint-colors/color/1054/sherwood-tan,
Benjamin Moore 2026,Batik,AF-610,50,203,184,180,Trending Soft Tone,A dusty violet-rose that feels vintage yet surprisingly modern.,Cool Violet (Dusty),,,,,,Swiss Coffee,,,Purple,Cool,Muted mauve with significant gray wash,#CBB8B4,0.18,,Cool,Bold,Sophisticated,Modern,Dramatic,purple_shift|gray_shift,https://www.benjaminmoore.com/en-us/paint-colors/color/af-610/batik,
Benjamin Moore 2026,Swiss Coffee,OC-45,82,237,234,224,Essential White,The ultimate creamy white that adds instant warmth.,Warm Yellow (Gray/Green),,,,,,Swiss Coffee,,,White,Warm,Creamy off-white with yellow/green undertones,#EDEAE0,0.27,,Warm,Soft,Classic,Inviting,Clean,yellow_shift|creamy,https://www.benjaminmoore.com/en-us/paint-colors/color/oc-45/swiss-coffee,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGTV Home by SW 2026,Universal Khaki,HGSW6150,46,194,179,155,HGTV 2026 Color of the Year,A modern sturdy khaki that balances warm and cool notes for total versatility.,Warm Yellow (Green/Gray),Creamy; Griffin; Cordovan,,,,,Neutral,,,Warm yellow-beige with subtle green/gray grounding,,,#C2B39B,0.24,,Warm,Earthy,Neutral,Classic,Cozy,muddy_shift,https://www.hgtvhomebysherwinwilliams.com/en/colors/2026-color-collection-of-the-year,
HGTV Home by SW 2026,Creamy,HGSW7012,81,244,236,210,Essential White,A bright off-white that adds instant warmth and softness to any room.,Warm Yellow,Universal Khaki; Lemon Chiffon,,,,,White,,,Bright white with soft yellow undertones,,,#F4ECD2,0.53,,Warm,Soft,Inviting,Classic,Clean,looks_yellow,https://www.hgtvhomebysherwinwilliams.com/en/colors/2026-color-collection-of-the-year,
HGTV Home by SW 2026,Lemon Chiffon,HGSW6686,79,246,231,186,Trending Bright,A cheerful sun-washed yellow that feels nostalgic and uplifting.,Warm Yellow (Green),Universal Khaki; Creamy,,,,,Yellow,,,Sunny yellow with a hint of green/citrus,,,#F6E7BA,0.81,,Warm,Airy,Fresh,Soft,Inviting,school_bus_yellow,https://www.hgtvhomebysherwinwilliams.com/en/colors/2026-color-collection-of-the-year,
HGTV Home by SW 2026,Neutral Ground,HGSW7568,70,224,215,198,Trending Neutral,A soft canvas tan that bridges the gap between beige and gray.,Warm Beige (Gray),Secret Garden; Griffin,,,,,Neutral,,,Soft tan with balanced gray (greige),,,#E0D7C6,0.28,,Neutral,Warm,Soft,Classic,Sophisticated,gray_shift,https://www.hgtvhomebysherwinwilliams.com/en/colors/2026-color-collection-of-the-year,
HGTV Home by SW 2026,Griffin,HGSW7026,26,134,126,115,Trending Dark Neutral,A deep chocolatey taupe that adds drama without feeling too heavy.,Warm Taupe (Gray),Universal Khaki; Neutral Ground,,,,,Neutral,,,Dark taupe with warm brown and gray notes,,,#867E73,0.09,,Moody,Neutral,Sophisticated,Modern,Dramatic,purple_shift,https://www.hgtvhomebysherwinwilliams.com/en/colors/2026-color-collection-of-the-year,
HGTV Home by SW 2026,Cordovan,HGSW6027,12,114,74,71,Trending Red,A sophisticated burgundy red with earthy grounded undertones.,Warm Red (Brown),Universal Khaki; Reddened Earth,,,,,Red,,,Deep wine red with brown/earthy base,,,#724A47,0.23,,Moody,Warm,Sophisticated,Classic,Dramatic,brown_shift,https://www.hgtvhomebysherwinwilliams.com/en/colors/2026-color-collection-of-the-year,
HGTV Home by SW 2026,Reddened Earth,HGSW6053,20,163,119,104,Trending Earth Tone,A warm clay-like terracotta that feels sun-baked and natural.,Warm Orange (Brown),Cordovan; Still Water,,,,,Orange,,,Earthy terracotta with strong brown/red notes,,,#A37768,0.28,,Warm,Earthy,Bold,Organic,Inviting,rust_shift,https://www.hgtvhomebysherwinwilliams.com/en/colors/2026-color-collection-of-the-year,
HGTV Home by SW 2026,Still Water,HGSW6223,20,83,111,114,Trending Cool Tone,A deep calming blue-green that brings the tranquility of water indoors.,Cool Teal (Gray),Creamy; Reddened Earth,,,,,Blue-Green,,,Deep teal with significant gray muting,,,#536F72,0.16,,Cool,Moody,Serene,Sophisticated,Dramatic,blue_shift,https://www.hgtvhomebysherwinwilliams.com/en/colors/2026-color-collection-of-the-year,
HGTV Home by SW 2026,Hazel,HGSW6471,48,157,192,193,Trending Cool Tone,A breezy restorative blue-green that feels fresh and airy.,Cool Blue (Green),Cordovan; Universal Khaki,,,,,Blue-Green,,,Bright aqua/teal with a slight gray cast,,,#9DC0C1,0.23,,Warm,Organic,Earthy,Calm,Sophisticated,baby_blue_risk,https://www.hgtvhomebysherwinwilliams.com/en/colors/2026-color-collection-of-the-year,
HGTV Home by SW 2026,Secret Garden,HGSW6181,16,98,100,83,Trending Green,A lush botanical green that acts as a deep neutral in any space.,Warm Olive (Gray),Neutral Ground; Universal Khaki,,,,,Green,,,Deep olive with gray/brown undertones,,,#626453,0.09,,Earthy,Organic,Moody,Sophisticated,Calm,yellow_shift,https://www.hgtvhomebysherwinwilliams.com/en/colors/2026-color-collection-of-the-year,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunn-Edwards 2026,Midnight Garden,DE5657,14,99,112,87,2026 Dunn Edwards Color of the Year,A deep muted green with earthy undertones that captures the quiet elegance of nature.,Cool Green (Black),Swiss Coffee; Gypsum Rose,,,,,Green,,,Blackened green with mossy/lichen notes,,,#637057,0.13,,Moody,Cool,Dramatic,Sophisticated,Bold,darkens_room,https://www.dunnedwards.com/colors/color-of-the-year/midnight-garden-2026-color-of-the-year/,
Dunn-Edwards 2026,Viridian Odyssey,DE1925,9,39,71,85,Trending Color,A deep mysterious blue-green with a calming sophisticated presence.,Cool Teal (Blue),Antique Coin; Eagle's View,,,,,Blue-Green,,,Deep teal with significant blue bias,,,#274755,0.37,,Cool,Bold,Sophisticated,Modern,Organic,black_shift,https://www.dunnedwards.com/colors/color-trends/color-trends-2026/,
Dunn-Edwards 2026,Gothic Revival Green,DET507,26,134,136,83,Trending Color,A rich citron green with a touch of yellow that adds a botanical feel.,Warm Green (Yellow),Midnight Garden; Swiss Coffee,,,,,Green,,,"Yellow-based ""chartreuse"" green",,,#868853,0.24,,Moody,Organic,Sophisticated,Classic,Dramatic,muddy_shift,https://www.dunnedwards.com/colors/color-trends/color-trends-2026/,
Dunn-Edwards 2026,Eagle's View,DE6394,48,187,192,197,Trending Color,A soft blend of mauve and gray with a slightly cool undertone.,Cool Gray (Purple),Viridian Odyssey; Country Air,,,,,Purple,,,Gray with distinct lavender/mauve notes,,,#BBC0C5,0.06,,Cool,Neutral,Calm,Modern,Sophisticated,gray_shift,https://www.dunnedwards.com/colors/color-trends/color-trends-2026/,
Dunn-Edwards 2026,Country Air,DET581,66,197,215,229,Trending Color,A traditional blue with a whisper of periwinkle like a clear endless sky.,Cool Blue (Purple),Eagle's View; Gypsum Rose,,,,,Blue,,,Sky blue with slight purple (periwinkle) tint,,,#C5D7E5,0.31,,Airy,Fresh,Cool,Clean,Serene,baby_blue_risk,https://www.dunnedwards.com/colors/color-trends/color-trends-2026/,
Dunn-Edwards 2026,Gypsum Rose,DET452,65,229,207,193,Trending Color,A soft blush beige with peach undertones offering a warm understated look.,Warm Pink (Peach),Country Air; Midnight Garden,,,,,Pink,,,Earthy peach-pink (plaster color),,,#E5,,,Warm,Soft,Serene,Sophisticated,Inviting,,https://www.dunnedwards.com/colors/color-trends/color-trends-2026/,
Collection Source Name,Color,Brand_ID,LRV,R,G,B,One_liner,Short_description,Undertone,Coordinated_Palette,,,,,Family,,,Undertone_notes,,,Hex,Saturation,,,,,,,,URL,
Farrow & Ball 2026,Scallop,No. 2013,68,235,205,195,Trending Soft Tone,A soft dusty pink inspired by the natural color of seashells.,Warm Pink (Peach),Broccoli Brown; Hay,,,,,Pink,,,Dusty peach-pink with gray muting,,,#EBCDC3,0.48,,Warm,Soft,Neutral,Classic,Sophisticated,looks_fleshy,https://www.farrow-ball.com,
Farrow & Ball 2026,Broccoli Brown,No. 198,15,108,96,86,Trending Earth Tone,A quiet dark stone color that sits effortlessly between brown and green.,Warm Brown (Green),Scallop; Hay,,,,,Brown,,,Dark brown with significant green undertone,,,#6C6056,0.11,,Warm,Earthy,Organic,Moody,Sophisticated,green_shift,https://www.farrow-ball.com,
Farrow & Ball 2026,Hay,No. 37,65,226,203,144,Trending Neutral,A muted dusty yellow that feels like a warm hug from the sun.,Warm Yellow (Ochre),Scallop; Broccoli Brown,,,,,Yellow,,,Muted ochre/mustard yellow,,,#E2CB90,0.6,,Warm,Airy,Soft,Earthy,Inviting,mustard_risk,https://www.farrow-ball.com,
